x1,x2,tekst,index
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,0
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",0
381.53,488.40000000000003,Sobota 02.10.2021_,0
85.8,473.5816,07:00_,0
137.18,473.5816,08:00_,0
188.54,473.5816,09:00_,0
239.9,473.5816,10:00_,0
291.29,473.5816,11:00_,0
342.65,473.5816,12:00_,0
394.01,473.5816,13:00_,0
445.39,473.5816,14:00_,0
496.75,473.5816,15:00_,0
548.11,473.5816,16:00_,0
599.5,473.5816,17:00_,0
650.86,473.5816,18:00_,0
702.22,473.5816,19:00_,0
753.6,473.5816,20:00_,0
85.8,336.2716,07:00_,0
137.18,336.2716,08:00_,0
188.54,336.2716,09:00_,0
239.9,336.2716,10:00_,0
291.29,336.2716,11:00_,0
342.65,336.2716,12:00_,0
394.01,336.2716,13:00_,0
445.39,336.2716,14:00_,0
496.75,336.2716,15:00_,0
548.11,336.2716,16:00_,0
599.5,336.2716,17:00_,0
650.86,336.2716,18:00_,0
702.22,336.2716,19:00_,0
753.6,336.2716,20:00_,0
375.77,351.07,Niedziela 03.10.2021_,0
25.2,412.3816,ISI_,0
48.72,439.2616,ISI 1_,0
48.72,385.7416,ISI 2_,0
25.2,275.0716,ISI_,0
48.72,301.9516,ISI 1_,0
48.72,248.4316,ISI 2_,0
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",0
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,0
319.85,115.9016,Przedst. samorz. stud.:_,0
615.22,115.9016,Dziekan:_,0
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,1
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",1
381.53,488.40000000000003,Sobota 09.10.2021_,1
85.8,473.5816,07:00_,1
137.18,473.5816,08:00_,1
188.54,473.5816,09:00_,1
239.9,473.5816,10:00_,1
291.29,473.5816,11:00_,1
342.65,473.5816,12:00_,1
394.01,473.5816,13:00_,1
445.39,473.5816,14:00_,1
496.75,473.5816,15:00_,1
548.11,473.5816,16:00_,1
599.5,473.5816,17:00_,1
650.86,473.5816,18:00_,1
702.22,473.5816,19:00_,1
753.6,473.5816,20:00_,1
202.94,414.3316,Blok językowy_,1
406.49,424.5316,"ME [w], dr hab. _",1
496.39,424.5316,"ME [w], dr hab. _",1
397.73,414.3316,"L.Błaszkiewicz, sala _",1
487.63,414.3316,"L.Błaszkiewicz, sala _",1
428.45,404.1316,C2_,1
518.35,404.1316,C2_,1
579.31,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",1
669.22,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",1
85.8,336.2716,07:00_,1
137.18,336.2716,08:00_,1
188.54,336.2716,09:00_,1
239.9,336.2716,10:00_,1
291.29,336.2716,11:00_,1
342.65,336.2716,12:00_,1
394.01,336.2716,13:00_,1
445.39,336.2716,14:00_,1
496.75,336.2716,15:00_,1
548.11,336.2716,16:00_,1
599.5,336.2716,17:00_,1
650.86,336.2716,18:00_,1
702.22,336.2716,19:00_,1
753.6,336.2716,20:00_,1
375.77,351.07,Niedziela 10.10.2021_,1
130.82,282.0616,"IO [w], dr M.Kolev, _",1
220.7,282.0616,"IO [w], dr M.Kolev, _",1
150.26,271.8616,sala C2_,1
240.14,271.8616,sala C2_,1
316.61,287.2216,"ME [w], dr hab. _",1
406.49,287.2216,"ME [w], dr hab. _",1
307.85,277.0216,"L.Błaszkiewicz, sala _",1
397.73,277.0216,"L.Błaszkiewicz, sala _",1
338.57,266.8216,C2_,1
428.45,266.8216,C2_,1
491.47,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",1
581.35,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",1
25.2,412.3816,ISI_,1
48.72,439.2616,ISI 1_,1
48.72,385.7416,ISI 2_,1
25.2,275.0716,ISI_,1
48.72,301.9516,ISI 1_,1
48.72,248.4316,ISI 2_,1
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",1
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,1
319.85,115.9016,Przedst. samorz. stud.:_,1
615.22,115.9016,Dziekan:_,1
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,2
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",2
381.53,488.40000000000003,Sobota 16.10.2021_,2
85.8,473.5816,07:00_,2
137.18,473.5816,08:00_,2
188.54,473.5816,09:00_,2
239.9,473.5816,10:00_,2
291.29,473.5816,11:00_,2
342.65,473.5816,12:00_,2
394.01,473.5816,13:00_,2
445.39,473.5816,14:00_,2
496.75,473.5816,15:00_,2
548.11,473.5816,16:00_,2
599.5,473.5816,17:00_,2
650.86,473.5816,18:00_,2
702.22,473.5816,19:00_,2
753.6,473.5816,20:00_,2
131.18,446.1316,"ASK [ćw], dr J.Szubiakowski, _",2
257.3,446.1316,"IO [ćw], mgr inż. M.Żużel, sala _",2
385.85,446.1316,"WWW [ćw], mgr H.Pikus, sala _",2
164.18,435.9316,sala A3/17_,2
301.01,435.9316,E1/16_,2
429.29,435.9316,D2/16_,2
259.58,392.6116,"ASK [ćw], dr J.Szubiakowski, _",2
385.73,392.6116,"IO [ćw], mgr inż. M.Żużel, sala _",2
514.27,392.6116,"WWW [ćw], mgr H.Pikus, sala _",2
292.61,382.4116,sala A3/17_,2
429.41,382.4116,E1/16_,2
557.71,382.4116,D2/16_,2
85.8,336.2716,07:00_,2
137.18,336.2716,08:00_,2
188.54,336.2716,09:00_,2
239.9,336.2716,10:00_,2
291.29,336.2716,11:00_,2
342.65,336.2716,12:00_,2
394.01,336.2716,13:00_,2
445.39,336.2716,14:00_,2
496.75,336.2716,15:00_,2
548.11,336.2716,16:00_,2
599.5,336.2716,17:00_,2
650.86,336.2716,18:00_,2
702.22,336.2716,19:00_,2
753.6,336.2716,20:00_,2
375.77,351.07,Niedziela 17.10.2021_,2
129.98,308.8216,"ERI [ćw], mgr inż. R.Cybulski, _",2
257.42,308.8216,"WWW [ćw], mgr H.Pikus, sala _",2
388.01,308.8216,"ASK [ćw], dr J.Szubiakowski, _",2
166.34,298.6216,sala E0/8_,2
300.89,298.6216,D2/16_,2
421.01,298.6216,sala A3/17_,2
258.38,255.3016,"ERI [ćw], mgr inż. R.Cybulski, _",2
385.85,255.3016,"WWW [ćw], mgr H.Pikus, sala _",2
516.43,255.3016,"ASK [ćw], dr J.Szubiakowski, _",2
294.77,245.0816,sala E0/8_,2
429.29,245.0816,D2/16_,2
549.43,245.0816,sala A3/17_,2
25.2,412.3816,ISI_,2
48.72,439.2616,ISI 1_,2
48.72,385.7416,ISI 2_,2
25.2,275.0716,ISI_,2
48.72,301.9516,ISI 1_,2
48.72,248.4316,ISI 2_,2
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",2
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,2
319.85,115.9016,Przedst. samorz. stud.:_,2
615.22,115.9016,Dziekan:_,2
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,3
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",3
381.53,488.40000000000003,Sobota 23.10.2021_,3
85.8,473.5816,07:00_,3
137.18,473.5816,08:00_,3
188.54,473.5816,09:00_,3
239.9,473.5816,10:00_,3
291.29,473.5816,11:00_,3
342.65,473.5816,12:00_,3
394.01,473.5816,13:00_,3
445.39,473.5816,14:00_,3
496.75,473.5816,15:00_,3
548.11,473.5816,16:00_,3
599.5,473.5816,17:00_,3
650.86,473.5816,18:00_,3
702.22,473.5816,19:00_,3
753.6,473.5816,20:00_,3
202.94,414.3316,Blok językowy_,3
406.49,424.5316,"ME [w], dr hab. _",3
496.39,424.5316,"ME [w], dr hab. _",3
397.73,414.3316,"L.Błaszkiewicz, sala _",3
487.63,414.3316,"L.Błaszkiewicz, sala _",3
428.45,404.1316,C2_,3
518.35,404.1316,C2_,3
85.8,336.2716,07:00_,3
137.18,336.2716,08:00_,3
188.54,336.2716,09:00_,3
239.9,336.2716,10:00_,3
291.29,336.2716,11:00_,3
342.65,336.2716,12:00_,3
394.01,336.2716,13:00_,3
445.39,336.2716,14:00_,3
496.75,336.2716,15:00_,3
548.11,336.2716,16:00_,3
599.5,336.2716,17:00_,3
650.86,336.2716,18:00_,3
702.22,336.2716,19:00_,3
753.6,336.2716,20:00_,3
375.77,351.07,Niedziela 24.10.2021_,3
130.82,282.0616,"IO [w], dr M.Kolev, _",3
220.7,282.0616,"IO [w], dr M.Kolev, _",3
150.26,271.8616,sala C2_,3
240.14,271.8616,sala C2_,3
323.57,287.2216,"ASK [w], dr _",3
413.45,287.2216,"ASK [w], dr _",3
315.05,277.0216,"J.Szubiakowski, _",3
404.93,277.0216,"J.Szubiakowski, _",3
330.05,266.8216,sala C2_,3
419.93,266.8216,sala C2_,3
491.47,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",3
581.35,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",3
25.2,412.3816,ISI_,3
48.72,439.2616,ISI 1_,3
48.72,385.7416,ISI 2_,3
25.2,275.0716,ISI_,3
48.72,301.9516,ISI 1_,3
48.72,248.4316,ISI 2_,3
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",3
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,3
319.85,115.9016,Przedst. samorz. stud.:_,3
615.22,115.9016,Dziekan:_,3
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,4
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",4
381.53,488.40000000000003,Sobota 30.10.2021_,4
85.8,473.5816,07:00_,4
137.18,473.5816,08:00_,4
188.54,473.5816,09:00_,4
239.9,473.5816,10:00_,4
291.29,473.5816,11:00_,4
342.65,473.5816,12:00_,4
394.01,473.5816,13:00_,4
445.39,473.5816,14:00_,4
496.75,473.5816,15:00_,4
548.11,473.5816,16:00_,4
599.5,473.5816,17:00_,4
650.86,473.5816,18:00_,4
702.22,473.5816,19:00_,4
753.6,473.5816,20:00_,4
85.8,336.2716,07:00_,4
137.18,336.2716,08:00_,4
188.54,336.2716,09:00_,4
239.9,336.2716,10:00_,4
291.29,336.2716,11:00_,4
342.65,336.2716,12:00_,4
394.01,336.2716,13:00_,4
445.39,336.2716,14:00_,4
496.75,336.2716,15:00_,4
548.11,336.2716,16:00_,4
599.5,336.2716,17:00_,4
650.86,336.2716,18:00_,4
702.22,336.2716,19:00_,4
753.6,336.2716,20:00_,4
375.77,351.07,Niedziela 31.10.2021_,4
25.2,412.3816,ISI_,4
48.72,439.2616,ISI 1_,4
48.72,385.7416,ISI 2_,4
25.2,275.0716,ISI_,4
48.72,301.9516,ISI 1_,4
48.72,248.4316,ISI 2_,4
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",4
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,4
319.85,115.9016,Przedst. samorz. stud.:_,4
615.22,115.9016,Dziekan:_,4
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,5
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",5
381.53,488.40000000000003,Sobota 06.11.2021_,5
85.8,473.5816,07:00_,5
137.18,473.5816,08:00_,5
188.54,473.5816,09:00_,5
239.9,473.5816,10:00_,5
291.29,473.5816,11:00_,5
342.65,473.5816,12:00_,5
394.01,473.5816,13:00_,5
445.39,473.5816,14:00_,5
496.75,473.5816,15:00_,5
548.11,473.5816,16:00_,5
599.5,473.5816,17:00_,5
650.86,473.5816,18:00_,5
702.22,473.5816,19:00_,5
753.6,473.5816,20:00_,5
134.18,441.09159999999997,"WdGM [ćw], dr _Bożena Staruch, _",5
144.86,430.8916,sala E1/16_,5
224.06,441.09159999999997,"WdGM [ćw], dr _Bożena Staruch, _",5
234.74,430.8916,sala E1/16_,5
309.17,446.1316,"ME [ćw], mgr inż. A.Froń, sala _",5
439.39,446.1316,"ASK [ćw], dr J.Szubiakowski, _",5
352.25,435.9316,D1/15_,5
472.39,435.9316,sala A3/17_,5
180.74,392.6116,"ME [ćw], mgr inż. A.Froń, sala _",5
223.82,382.4116,D1/15_,5
313.97,387.5716,"WdGM [ćw], dr _Bożena Staruch, _",5
324.65,377.3716,sala E1/16_,5
403.85,387.5716,"WdGM [ćw], dr _Bożena Staruch, _",5
414.53,377.3716,sala E1/16_,5
567.79,392.6116,"ASK [ćw], dr J.Szubiakowski, _",5
600.82,382.4116,sala A3/17_,5
85.8,336.2716,07:00_,5
137.18,336.2716,08:00_,5
188.54,336.2716,09:00_,5
239.9,336.2716,10:00_,5
291.29,336.2716,11:00_,5
342.65,336.2716,12:00_,5
394.01,336.2716,13:00_,5
445.39,336.2716,14:00_,5
496.75,336.2716,15:00_,5
548.11,336.2716,16:00_,5
599.5,336.2716,17:00_,5
650.86,336.2716,18:00_,5
702.22,336.2716,19:00_,5
753.6,336.2716,20:00_,5
375.77,351.07,Niedziela 07.11.2021_,5
313.97,303.7816,"WdGM [ćw], dr _Bożena Staruch, _",5
324.53,293.5816,sala D1/14_,5
398.57,308.8216,"IO [ćw], mgr inż. M.Żużel, sala _",5
442.27,298.6216,E1/16_,5
270.14,255.3016,"IO [ćw], mgr inż. M.Żużel, sala _",5
313.85,245.0816,E1/16_,5
403.85,250.2616,"WdGM [ćw], dr _Bożena Staruch, _",5
414.41,240.0416,sala D1/14_,5
25.2,412.3816,ISI_,5
48.72,439.2616,ISI 1_,5
48.72,385.7416,ISI 2_,5
25.2,275.0716,ISI_,5
48.72,301.9516,ISI 1_,5
48.72,248.4316,ISI 2_,5
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",5
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,5
319.85,115.9016,Przedst. samorz. stud.:_,5
615.22,115.9016,Dziekan:_,5
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,6
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",6
381.53,488.40000000000003,Sobota 13.11.2021_,6
85.8,473.5816,07:00_,6
137.18,473.5816,08:00_,6
188.54,473.5816,09:00_,6
239.9,473.5816,10:00_,6
291.29,473.5816,11:00_,6
342.65,473.5816,12:00_,6
394.01,473.5816,13:00_,6
445.39,473.5816,14:00_,6
496.75,473.5816,15:00_,6
548.11,473.5816,16:00_,6
599.5,473.5816,17:00_,6
650.86,473.5816,18:00_,6
702.22,473.5816,19:00_,6
753.6,473.5816,20:00_,6
129.38,446.1316,"ME [ćw], mgr inż. A.Froń, sala _",6
259.58,446.1316,"ASK [ćw], dr J.Szubiakowski, _",6
386.81,446.1316,"ERI [ćw], mgr inż. R.Cybulski, _",6
172.46,435.9316,D1/15_,6
292.61,435.9316,sala A3/17_,6
423.17,435.9316,sala E0/8_,6
257.78,392.6116,"ME [ćw], mgr inż. A.Froń, sala _",6
388.01,392.6116,"ASK [ćw], dr J.Szubiakowski, _",6
515.23,392.6116,"ERI [ćw], mgr inż. R.Cybulski, _",6
300.89,382.4116,D1/15_,6
421.01,382.4116,sala A3/17_,6
551.59,382.4116,sala E0/8_,6
85.8,336.2716,07:00_,6
137.18,336.2716,08:00_,6
188.54,336.2716,09:00_,6
239.9,336.2716,10:00_,6
291.29,336.2716,11:00_,6
342.65,336.2716,12:00_,6
394.01,336.2716,13:00_,6
445.39,336.2716,14:00_,6
496.75,336.2716,15:00_,6
548.11,336.2716,16:00_,6
599.5,336.2716,17:00_,6
650.86,336.2716,18:00_,6
702.22,336.2716,19:00_,6
753.6,336.2716,20:00_,6
375.77,351.07,Niedziela 14.11.2021_,6
259.58,308.8216,"ASK [ćw], dr J.Szubiakowski, _",6
385.85,308.8216,"WWW [ćw], mgr H.Pikus, sala _",6
292.61,298.6216,sala A3/17_,6
429.29,298.6216,D2/16_,6
131.18,255.3016,"ASK [ćw], dr J.Szubiakowski, _",6
257.42,255.3016,"WWW [ćw], mgr H.Pikus, sala _",6
164.18,245.0816,sala A3/17_,6
300.89,245.0816,D2/16_,6
25.2,412.3816,ISI_,6
48.72,439.2616,ISI 1_,6
48.72,385.7416,ISI 2_,6
25.2,275.0716,ISI_,6
48.72,301.9516,ISI 1_,6
48.72,248.4316,ISI 2_,6
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",6
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,6
319.85,115.9016,Przedst. samorz. stud.:_,6
615.22,115.9016,Dziekan:_,6
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,7
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",7
381.53,488.40000000000003,Sobota 20.11.2021_,7
85.8,473.5816,07:00_,7
137.18,473.5816,08:00_,7
188.54,473.5816,09:00_,7
239.9,473.5816,10:00_,7
291.29,473.5816,11:00_,7
342.65,473.5816,12:00_,7
394.01,473.5816,13:00_,7
445.39,473.5816,14:00_,7
496.75,473.5816,15:00_,7
548.11,473.5816,16:00_,7
599.5,473.5816,17:00_,7
650.86,473.5816,18:00_,7
702.22,473.5816,19:00_,7
753.6,473.5816,20:00_,7
202.94,414.3316,Blok językowy_,7
406.49,424.5316,"ME [w], dr hab. _",7
496.39,424.5316,"ME [w], dr hab. _",7
397.73,414.3316,"L.Błaszkiewicz, sala _",7
487.63,414.3316,"L.Błaszkiewicz, sala _",7
428.45,404.1316,C2_,7
518.35,404.1316,C2_,7
579.31,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",7
669.22,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",7
85.8,336.2716,07:00_,7
137.18,336.2716,08:00_,7
188.54,336.2716,09:00_,7
239.9,336.2716,10:00_,7
291.29,336.2716,11:00_,7
342.65,336.2716,12:00_,7
394.01,336.2716,13:00_,7
445.39,336.2716,14:00_,7
496.75,336.2716,15:00_,7
548.11,336.2716,16:00_,7
599.5,336.2716,17:00_,7
650.86,336.2716,18:00_,7
702.22,336.2716,19:00_,7
753.6,336.2716,20:00_,7
375.77,351.07,Niedziela 21.11.2021_,7
130.82,282.0616,"IO [w], dr M.Kolev, _",7
220.7,282.0616,"IO [w], dr M.Kolev, _",7
150.26,271.8616,sala C2_,7
240.14,271.8616,sala C2_,7
323.57,287.2216,"ASK [w], dr _",7
413.45,287.2216,"ASK [w], dr _",7
315.05,277.0216,"J.Szubiakowski, _",7
404.93,277.0216,"J.Szubiakowski, _",7
330.05,266.8216,sala C2_,7
419.93,266.8216,sala C2_,7
491.47,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",7
581.35,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",7
25.2,412.3816,ISI_,7
48.72,439.2616,ISI 1_,7
48.72,385.7416,ISI 2_,7
25.2,275.0716,ISI_,7
48.72,301.9516,ISI 1_,7
48.72,248.4316,ISI 2_,7
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",7
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,7
319.85,115.9016,Przedst. samorz. stud.:_,7
615.22,115.9016,Dziekan:_,7
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,8
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",8
381.53,488.40000000000003,Sobota 27.11.2021_,8
85.8,473.5816,07:00_,8
137.18,473.5816,08:00_,8
188.54,473.5816,09:00_,8
239.9,473.5816,10:00_,8
291.29,473.5816,11:00_,8
342.65,473.5816,12:00_,8
394.01,473.5816,13:00_,8
445.39,473.5816,14:00_,8
496.75,473.5816,15:00_,8
548.11,473.5816,16:00_,8
599.5,473.5816,17:00_,8
650.86,473.5816,18:00_,8
702.22,473.5816,19:00_,8
753.6,473.5816,20:00_,8
129.38,446.1316,"ME [ćw], mgr inż. A.Froń, sala _",8
257.3,446.1316,"IO [ćw], mgr inż. M.Żużel, sala _",8
385.85,446.1316,"WWW [ćw], mgr H.Pikus, sala _",8
172.46,435.9316,D1/15_,8
301.01,435.9316,E1/16_,8
429.29,435.9316,D2/16_,8
257.78,392.6116,"ME [ćw], mgr inż. A.Froń, sala _",8
385.73,392.6116,"IO [ćw], mgr inż. M.Żużel, sala _",8
514.27,392.6116,"WWW [ćw], mgr H.Pikus, sala _",8
300.89,382.4116,D1/15_,8
429.41,382.4116,E1/16_,8
557.71,382.4116,D2/16_,8
85.8,336.2716,07:00_,8
137.18,336.2716,08:00_,8
188.54,336.2716,09:00_,8
239.9,336.2716,10:00_,8
291.29,336.2716,11:00_,8
342.65,336.2716,12:00_,8
394.01,336.2716,13:00_,8
445.39,336.2716,14:00_,8
496.75,336.2716,15:00_,8
548.11,336.2716,16:00_,8
599.5,336.2716,17:00_,8
650.86,336.2716,18:00_,8
702.22,336.2716,19:00_,8
753.6,336.2716,20:00_,8
375.77,351.07,Niedziela 28.11.2021_,8
259.58,308.8216,"ASK [ćw], dr J.Szubiakowski, _",8
386.81,308.8216,"ERI [ćw], mgr inż. R.Cybulski, _",8
514.27,308.8216,"WWW [ćw], mgr H.Pikus, sala _",8
292.61,298.6216,sala A3/17_,8
423.17,298.6216,sala E0/8_,8
557.71,298.6216,D2/16_,8
131.18,255.3016,"ASK [ćw], dr J.Szubiakowski, _",8
258.38,255.3016,"ERI [ćw], mgr inż. R.Cybulski, _",8
385.85,255.3016,"WWW [ćw], mgr H.Pikus, sala _",8
164.18,245.0816,sala A3/17_,8
294.77,245.0816,sala E0/8_,8
429.29,245.0816,D2/16_,8
25.2,412.3816,ISI_,8
48.72,439.2616,ISI 1_,8
48.72,385.7416,ISI 2_,8
25.2,275.0716,ISI_,8
48.72,301.9516,ISI 1_,8
48.72,248.4316,ISI 2_,8
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",8
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,8
319.85,115.9016,Przedst. samorz. stud.:_,8
615.22,115.9016,Dziekan:_,8
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,9
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",9
381.53,488.40000000000003,Sobota 04.12.2021_,9
85.8,473.5816,07:00_,9
137.18,473.5816,08:00_,9
188.54,473.5816,09:00_,9
239.9,473.5816,10:00_,9
291.29,473.5816,11:00_,9
342.65,473.5816,12:00_,9
394.01,473.5816,13:00_,9
445.39,473.5816,14:00_,9
496.75,473.5816,15:00_,9
548.11,473.5816,16:00_,9
599.5,473.5816,17:00_,9
650.86,473.5816,18:00_,9
702.22,473.5816,19:00_,9
753.6,473.5816,20:00_,9
202.94,414.3316,Blok językowy_,9
399.53,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",9
489.43,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",9
581.35,409.1716,"ERI [w], dr inż. _B.Nowak, sala C2_",9
671.26,409.1716,"ERI [w], dr inż. _B.Nowak, sala C2_",9
85.8,336.2716,07:00_,9
137.18,336.2716,08:00_,9
188.54,336.2716,09:00_,9
239.9,336.2716,10:00_,9
291.29,336.2716,11:00_,9
342.65,336.2716,12:00_,9
394.01,336.2716,13:00_,9
445.39,336.2716,14:00_,9
496.75,336.2716,15:00_,9
548.11,336.2716,16:00_,9
599.5,336.2716,17:00_,9
650.86,336.2716,18:00_,9
702.22,336.2716,19:00_,9
753.6,336.2716,20:00_,9
375.77,351.07,Niedziela 05.12.2021_,9
130.82,282.0616,"IO [w], dr M.Kolev, _",9
220.7,282.0616,"IO [w], dr M.Kolev, _",9
150.26,271.8616,sala C2_,9
240.14,271.8616,sala C2_,9
311.69,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",9
401.57,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",9
504.55,292.2616,Informacja _,9
594.46,292.2616,Informacja _,9
492.91,282.0616,"patentowa [w], dr _",9
582.79,282.0616,"patentowa [w], dr _",9
517.15,271.8616,inż. _,9
607.06,271.8616,inż. _,9
493.75,261.6616,K.Jadwisieńczak_,9
